epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.0419,0.53658,0.91892,1,0.24781,0.00053344,0.00053344,0.00053344
2,80.5855,0.34221,0.93919,1,0.20486,0.0010621,0.0010621,0.0010621
3,124.033,0.23104,0.93243,1,0.21554,0.00156897,0.00156897,0.00156897
4,170.103,0.23066,0.96622,1,0.09538,0.00156798,0.00156798,0.00156798
5,216.162,0.28826,0.93919,1,0.2921,0.00153497,0.00153497,0.00153497
6,263.333,0.2015,0.96622,1,0.1262,0.00150197,0.00150197,0.00150197
7,318.704,0.25951,0.91216,1,0.20355,0.00146896,0.00146896,0.00146896
8,370.397,0.24204,0.9527,1,0.13206,0.00143595,0.00143595,0.00143595
9,420.15,0.19882,0.96622,1,0.15002,0.00140295,0.00140295,0.00140295
10,471.701,0.17627,0.97297,1,0.10602,0.00136994,0.00136994,0.00136994
11,521.656,0.19665,0.9527,1,0.15878,0.00133693,0.00133693,0.00133693
12,572.414,0.17923,0.95946,1,0.12665,0.00130393,0.00130393,0.00130393
13,624.259,0.19283,0.96622,1,0.1809,0.00127092,0.00127092,0.00127092
14,677.892,0.16271,0.96622,1,0.15791,0.00123791,0.00123791,0.00123791
15,727.77,0.17179,0.9527,1,0.14548,0.00120491,0.00120491,0.00120491
16,780.632,0.17773,0.97297,1,0.08741,0.0011719,0.0011719,0.0011719
17,847.709,0.15796,0.97297,1,0.08764,0.00113889,0.00113889,0.00113889
18,900.796,0.14144,0.96622,1,0.09986,0.00110589,0.00110589,0.00110589
19,956.465,0.13657,0.95946,1,0.12071,0.00107288,0.00107288,0.00107288
20,1015.78,0.1341,0.97297,1,0.11302,0.00103987,0.00103987,0.00103987
21,1074.75,0.13118,0.96622,1,0.13245,0.00100687,0.00100687,0.00100687
22,1132.03,0.11378,0.96622,1,0.1216,0.000973861,0.000973861,0.000973861
23,1191.03,0.11993,0.9527,1,0.14471,0.000940855,0.000940855,0.000940855
24,1245.63,0.12054,0.96622,1,0.11366,0.000907848,0.000907848,0.000907848
25,1299.62,0.10653,0.96622,1,0.12876,0.000874842,0.000874842,0.000874842
26,1356.95,0.1544,0.95946,1,0.18035,0.000841835,0.000841835,0.000841835
27,1409.54,0.10586,0.9527,1,0.18952,0.000808828,0.000808828,0.000808828
28,1470.19,0.11359,0.9527,1,0.1327,0.000775822,0.000775822,0.000775822
29,1531.23,0.08511,0.96622,1,0.14059,0.000742815,0.000742815,0.000742815
30,1584.69,0.07187,0.96622,1,0.11449,0.000709809,0.000709809,0.000709809
31,1642.78,0.08499,0.97297,1,0.12327,0.000676802,0.000676802,0.000676802
32,1697.93,0.09081,0.96622,1,0.1378,0.000643795,0.000643795,0.000643795
33,1751.14,0.06562,0.95946,1,0.14868,0.000610789,0.000610789,0.000610789
34,1800.07,0.06503,0.96622,1,0.14408,0.000577782,0.000577782,0.000577782
35,1849.27,0.11958,0.96622,1,0.16157,0.000544776,0.000544776,0.000544776
36,1902.15,0.05801,0.97297,1,0.12434,0.000511769,0.000511769,0.000511769
37,1953.51,0.08112,0.96622,1,0.10061,0.000478762,0.000478762,0.000478762
38,2005.58,0.06642,0.95946,1,0.12002,0.000445756,0.000445756,0.000445756
39,2048.26,0.06348,0.96622,1,0.11168,0.000412749,0.000412749,0.000412749
40,2096.43,0.06814,0.96622,1,0.14411,0.000379743,0.000379743,0.000379743
41,2142.52,0.08331,0.96622,1,0.16721,0.000346736,0.000346736,0.000346736
42,2189.84,0.04224,0.96622,1,0.13807,0.000313729,0.000313729,0.000313729
43,2238.11,0.03483,0.96622,1,0.13326,0.000280723,0.000280723,0.000280723
44,2281.58,0.04937,0.96622,1,0.15411,0.000247716,0.000247716,0.000247716
45,2327.96,0.07189,0.96622,1,0.14746,0.00021471,0.00021471,0.00021471
46,2356.8,0.05214,0.96622,1,0.15482,0.000181703,0.000181703,0.000181703
47,2386.94,0.05015,0.96622,1,0.14297,0.000148696,0.000148696,0.000148696
48,2415.51,0.05464,0.96622,1,0.15753,0.00011569,0.00011569,0.00011569
49,2444.9,0.05577,0.96622,1,0.14551,8.26832e-05,8.26832e-05,8.26832e-05
50,2473.2,0.05083,0.96622,1,0.18172,4.96766e-05,4.96766e-05,4.96766e-05
