epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.9551,0.64664,0.73649,1,0.57997,0.00053344,0.00053344,0.00053344
2,63.0624,0.58384,0.76351,1,0.57537,0.0010621,0.0010621,0.0010621
3,95.7907,0.59682,0.7973,1,0.49793,0.00156897,0.00156897,0.00156897
4,129.726,0.59975,0.73649,1,0.55781,0.00156798,0.00156798,0.00156798
5,163.107,0.57711,0.83108,1,0.49493,0.00153497,0.00153497,0.00153497
6,195.609,0.57689,0.82432,1,0.44282,0.00150197,0.00150197,0.00150197
7,229.068,0.5275,0.93243,1,0.28568,0.00146896,0.00146896,0.00146896
8,258.706,0.49356,0.97297,1,0.21434,0.00143595,0.00143595,0.00143595
9,293.762,0.49343,0.93243,1,0.28487,0.00140295,0.00140295,0.00140295
10,327.655,0.5394,0.75,1,0.43895,0.00136994,0.00136994,0.00136994
11,358.699,0.50283,0.97297,1,0.15074,0.00133693,0.00133693,0.00133693
12,389.37,0.47322,0.95946,1,0.22609,0.00130393,0.00130393,0.00130393
13,419.541,0.49028,0.96622,1,0.22792,0.00127092,0.00127092,0.00127092
14,449.497,0.451,0.95946,1,0.18674,0.00123791,0.00123791,0.00123791
15,479.32,0.48704,0.97297,1,0.18906,0.00120491,0.00120491,0.00120491
16,512.076,0.43273,0.96622,1,0.18624,0.0011719,0.0011719,0.0011719
17,545.399,0.42308,0.96622,1,0.14216,0.00113889,0.00113889,0.00113889
18,578.007,0.41633,0.95946,1,0.12225,0.00110589,0.00110589,0.00110589
19,608.587,0.39009,0.96622,1,0.15159,0.00107288,0.00107288,0.00107288
20,641.203,0.44063,0.95946,1,0.14011,0.00103987,0.00103987,0.00103987
21,672.398,0.39068,0.95946,1,0.14481,0.00100687,0.00100687,0.00100687
22,704.173,0.3644,0.96622,1,0.11806,0.000973861,0.000973861,0.000973861
23,736.889,0.3729,0.95946,1,0.11955,0.000940855,0.000940855,0.000940855
24,769.281,0.36221,0.94595,1,0.1876,0.000907848,0.000907848,0.000907848
25,800.418,0.38348,0.96622,1,0.11426,0.000874842,0.000874842,0.000874842
26,833.137,0.35794,0.92568,1,0.14934,0.000841835,0.000841835,0.000841835
27,864.051,0.35618,0.96622,1,0.11065,0.000808828,0.000808828,0.000808828
28,896.785,0.33975,0.96622,1,0.11266,0.000775822,0.000775822,0.000775822
29,931.262,0.36515,0.96622,1,0.11801,0.000742815,0.000742815,0.000742815
30,963.751,0.35825,0.9527,1,0.1361,0.000709809,0.000709809,0.000709809
31,994.626,0.35214,0.93243,1,0.13633,0.000676802,0.000676802,0.000676802
32,1025.41,0.35811,0.95946,1,0.11135,0.000643795,0.000643795,0.000643795
33,1056.16,0.30195,0.96622,1,0.09738,0.000610789,0.000610789,0.000610789
34,1086.84,0.36623,0.9527,1,0.1405,0.000577782,0.000577782,0.000577782
35,1117.98,0.36451,0.96622,1,0.1125,0.000544776,0.000544776,0.000544776
36,1149.14,0.34059,0.96622,1,0.09899,0.000511769,0.000511769,0.000511769
37,1179.95,0.34181,0.97297,1,0.09769,0.000478762,0.000478762,0.000478762
38,1213.34,0.35541,0.96622,1,0.09611,0.000445756,0.000445756,0.000445756
39,1244.58,0.31469,0.96622,1,0.09216,0.000412749,0.000412749,0.000412749
40,1276.08,0.31599,0.95946,1,0.10792,0.000379743,0.000379743,0.000379743
41,1307.37,0.35972,0.96622,1,0.10394,0.000346736,0.000346736,0.000346736
42,1339.17,0.32498,0.97297,1,0.09694,0.000313729,0.000313729,0.000313729
43,1369.69,0.31333,0.96622,1,0.08925,0.000280723,0.000280723,0.000280723
44,1401.91,0.30679,0.96622,1,0.09778,0.000247716,0.000247716,0.000247716
45,1433.4,0.34079,0.96622,1,0.10006,0.00021471,0.00021471,0.00021471
46,1461.89,0.30348,0.96622,1,0.10111,0.000181703,0.000181703,0.000181703
47,1492.72,0.2635,0.96622,1,0.08818,0.000148696,0.000148696,0.000148696
48,1523.6,0.3464,0.96622,1,0.09472,0.00011569,0.00011569,0.00011569
49,1551.59,0.33367,0.97297,1,0.09503,8.26832e-05,8.26832e-05,8.26832e-05
50,1578.31,0.32318,0.97297,1,0.09466,4.96766e-05,4.96766e-05,4.96766e-05
